,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,Display Value,Numeric,Low,High,Comments
94,carep,EQ_DHS,PUBLISHED,2011,AFR,COG,,,,WQ4,,65.5 [41.8-83.3],65.46013,41.797470000000004,83.33762,Attention - Estimate is based on 25-49 cases.
95,carep,EQ_DHS,PUBLISHED,2005,AFR,COG,,,,WQ1,,No data,,,,Not available.
96,carep,EQ_MICS,PUBLISHED,2011,AMR,CRI,,,,WQ3,,47.8 [22.0-74.8],47.78168,22.02551,74.77405999999999,Attention - Estimate is based on 25-49 cases.
97,carep,EQ_MICS,PUBLISHED,2011,AMR,CRI,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
98,carep,EQ_MICS,PUBLISHED,2016,AFR,CIV,,,,WQ2,,29.8 [16.5-47.6],29.811490000000003,16.5467,47.63975,Attention - Estimate is based on 25-49 cases.
99,carep,EQ_MICS,PUBLISHED,2016,AFR,CIV,,,,WQ4,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
100,carep,EQ_DHS,PUBLISHED,2011,AFR,CIV,,,,WQ4,,47.8 [31.7-64.4],47.80981,31.65672,64.43433,
101,carep,EQ_MICS,PUBLISHED,2006,AFR,CIV,,,,WQ1,,20.5 [14.2-28.7],20.52825,14.24119,28.66317,
102,carep,EQ_DHS,PUBLISHED,1998,AFR,CIV,,,,WQ3,,No data,,,,Not available.
103,carep,EQ_DHS,PUBLISHED,1998,AFR,CIV,,,,WQ5,,No data,,,,Not available.
104,carep,EQ_MICS,PUBLISHED,2014,AMR,CUB,,,,WQ2,,No data,,,,Not available.
105,carep,EQ_MICS,PUBLISHED,2014,AMR,CUB,,,,WQ4,,No data,,,,Not available.
106,carep,EQ_MICS,PUBLISHED,2010,AMR,CUB,,,,WQ4,,No data,,,,Not available.
107,carep,EQ_MICS,PUBLISHED,2006,AMR,CUB,,,,WQ1,,No data,,,,Not available.
108,carep,EQ_DHS,PUBLISHED,2013,AFR,COD,,,,WQ3,,49.0 [38.9-59.2],49.043240000000004,38.917609999999996,59.24799,
109,carep,EQ_DHS,PUBLISHED,2013,AFR,COD,,,,WQ5,,43.5 [28.9-59.3],43.470259999999996,28.88965,59.27559,
110,carep,EQ_DHS,PUBLISHED,2007,AFR,COD,,,,WQ2,,No data,,,,Not available.
111,carep,EQ_DHS,PUBLISHED,2007,AFR,COD,,,,WQ4,,No data,,,,Not available.
112,carep,EQ_MICS,PUBLISHED,2006,EMR,DJI,,,,WQ4,,No data,,,,Not available.
113,carep,EQ_MICS,PUBLISHED,2014,AMR,DOM,,,,WQ1,,71.5 [65.0-77.2],71.46049000000001,64.95881999999999,77.17961,
114,carep,EQ_DHS,PUBLISHED,2013,AMR,DOM,,,,WQ3,,57.1 [42.1-71.0],57.11381,42.052820000000004,70.96321,
115,carep,EQ_DHS,PUBLISHED,2013,AMR,DOM,,,,WQ5,,46.9 [29.9-64.6],46.85601,29.8757,64.59703,Attention - Estimate is based on 25-49 cases.
116,carep,EQ_DHS,PUBLISHED,2002,AMR,DOM,,,,WQ2,,No data,,,,Not available.
117,carep,EQ_DHS,PUBLISHED,2002,AMR,DOM,,,,WQ4,,No data,,,,Not available.
118,carep,EQ_DHS,PUBLISHED,1999,AMR,DOM,,,,WQ4,,No data,,,,Not available.
119,carep,EQ_DHS,PUBLISHED,1996,AMR,DOM,,,,WQ1,,No data,,,,Not available.
120,carep,EQ_RHS,PUBLISHED,2004,AMR,ECU,,,,WQ3,,No data,,,,Not available.
121,carep,EQ_RHS,PUBLISHED,2004,AMR,ECU,,,,WQ5,,No data,,,,Not available.
122,carep,EQ_RHS,PUBLISHED,1994,AMR,ECU,,,,WQ2,,No data,,,,Not available.
123,carep,EQ_RHS,PUBLISHED,1994,AMR,ECU,,,,WQ4,,No data,,,,Not available.
124,carep,EQ_DHS,PUBLISHED,2014,EMR,EGY,,,,WQ4,,71.4 [65.5-76.6],71.39676,65.49565,76.64846999999999,
125,carep,EQ_DHS,PUBLISHED,2008,EMR,EGY,,,,WQ1,,69.6 [61.7-76.5],69.61508,61.74844,76.48013,
126,carep,EQ_DHS,PUBLISHED,2005,EMR,EGY,,,,WQ3,,64.0 [43.6-80.3],63.9626,43.5502,80.32797,
127,carep,EQ_DHS,PUBLISHED,2005,EMR,EGY,,,,WQ5,,76.4 [53.6-90.1],76.39596999999999,53.586859999999994,90.07247,
128,carep,EQ_DHS,PUBLISHED,1995,EMR,EGY,,,,WQ2,,No data,,,,Not available.
129,carep,EQ_DHS,PUBLISHED,1995,EMR,EGY,,,,WQ4,,No data,,,,Not available.
130,carep,EQ_MICS,PUBLISHED,2014,AMR,SLV,,,,WQ4,,82.0 [65.1-91.7],81.95074,65.0937,91.70456,
131,carep,EQ_RHS,PUBLISHED,2008,AMR,SLV,,,,WQ1,,No data,,,,Not available.
132,carep,EQ_RHS,PUBLISHED,2008,AMR,SLV,,,,WQ3,,No data,,,,Not available.
133,carep,EQ_RHS,PUBLISHED,2002,AMR,SLV,,,,WQ3,,No data,,,,Not available.
134,carep,EQ_RHS,PUBLISHED,2002,AMR,SLV,,,,WQ5,,No data,,,,Not available.
135,carep,EQ_RHS,PUBLISHED,1993,AMR,SLV,,,,WQ2,,No data,,,,Not available.
136,carep,EQ_RHS,PUBLISHED,1993,AMR,SLV,,,,WQ4,,No data,,,,Not available.
137,carep,EQ_MICS,PUBLISHED,2014,AFR,SWZ,,,,WQ4,,54.8 [35.9-72.3],54.75965,35.92607,72.32225,Attention - Estimate is based on 25-49 cases.
138,carep,EQ_MICS,PUBLISHED,2010,AFR,SWZ,,,,WQ1,,61.9 [51.2-71.5],61.871359999999996,51.24725,71.46921999999999,
139,carep,EQ_MICS,PUBLISHED,2010,AFR,SWZ,,,,WQ3,,57.1 [45.0-68.4],57.147490000000005,45.049170000000004,68.44778000000001,
140,carep,EQ_DHS,PUBLISHED,2006,AFR,SWZ,,,,WQ3,,67.7 [48.4-82.5],67.74184,48.35313,82.48798000000001,Attention - Estimate is based on 25-49 cases.
141,carep,EQ_DHS,PUBLISHED,2006,AFR,SWZ,,,,WQ5,,74.9 [55.5-87.7],74.90292,55.476519999999994,87.7282,Attention - Estimate is based on 25-49 cases.
142,carep,EQ_DHS,PUBLISHED,2011,AFR,ETH,,,,WQ2,,25.2 [16.2-37.0],25.242820000000002,16.24861,37.01528,
143,carep,EQ_DHS,PUBLISHED,2011,AFR,ETH,,,,WQ4,,33.2 [22.0-46.7],33.17236,21.95378,46.69388,
144,carep,EQ_DHS,PUBLISHED,2005,AFR,ETH,,,,WQ4,,17.0 [11.0-25.4],17.04115,11.0101,25.431720000000002,
145,carep,EQ_DHS,PUBLISHED,2000,AFR,ETH,,,,WQ1,,No data,,,,Not available.
146,carep,EQ_DHS,PUBLISHED,2000,AFR,ETH,,,,WQ3,,No data,,,,Not available.
147,carep,EQ_DHS,PUBLISHED,2012,AFR,GAB,,,,WQ3,,46.7 [28.7-65.5],46.65159,28.69551,65.51929,
148,carep,EQ_DHS,PUBLISHED,2012,AFR,GAB,,,,WQ5,,63.3 [44.8-78.5],63.279,44.80162,78.53463,Attention - Estimate is based on 25-49 cases.
149,carep,EQ_DHS,PUBLISHED,2013,AFR,GMB,,,,WQ2,,70.1 [59.1-79.2],70.08714,59.07256999999999,79.18207,
150,carep,EQ_DHS,PUBLISHED,2013,AFR,GMB,,,,WQ4,,62.4 [47.7-75.0],62.36684,47.73105,75.04691,
151,carep,EQ_MICS,PUBLISHED,2005,AFR,GMB,,,,WQ1,,68.2 [57.8-77.1],68.21101,57.79654,77.07491,
152,carep,EQ_MICS,PUBLISHED,2005,AFR,GMB,,,,WQ3,,71.2 [59.9-80.4],71.21349000000001,59.87655,80.39594,
153,carep,EQ_MICS,PUBLISHED,2005,EUR,GEO,,,,WQ3,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
154,carep,EQ_MICS,PUBLISHED,2005,EUR,GEO,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
155,carep,EQ_MICS,PUBLISHED,2011,AFR,GHA,,,,WQ2,,40.8 [27.7-55.3],40.75832,27.67486,55.297959999999996,
156,carep,EQ_MICS,PUBLISHED,2011,AFR,GHA,,,,WQ4,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
157,carep,EQ_MICS,PUBLISHED,2006,AFR,GHA,,,,WQ1,,30.0 [18.7-44.5],30.04133,18.70029,44.49596,
158,carep,EQ_MICS,PUBLISHED,2006,AFR,GHA,,,,WQ3,,45.0 [26.9-64.5],45.03353,26.93877,64.54500999999999,Attention - Estimate is based on 25-49 cases.
159,carep,EQ_DHS,PUBLISHED,2003,AFR,GHA,,,,WQ3,,No data,,,,Not available.
160,carep,EQ_DHS,PUBLISHED,2003,AFR,GHA,,,,WQ5,,No data,,,,Not available.
161,carep,EQ_DHS,PUBLISHED,1993,AFR,GHA,,,,WQ2,,No data,,,,Not available.
162,carep,EQ_DHS,PUBLISHED,1993,AFR,GHA,,,,WQ4,,No data,,,,Not available.
163,carep,EQ_RHS,PUBLISHED,2008,AMR,GTM,,,,WQ1,,No data,,,,Not available.
164,carep,EQ_RHS,PUBLISHED,2008,AMR,GTM,,,,WQ3,,No data,,,,Not available.
165,carep,EQ_RHS,PUBLISHED,2002,AMR,GTM,,,,WQ3,,No data,,,,Not available.
166,carep,EQ_RHS,PUBLISHED,2002,AMR,GTM,,,,WQ5,,No data,,,,Not available.
167,carep,EQ_DHS,PUBLISHED,1995,AMR,GTM,,,,WQ2,,No data,,,,Not available.
168,carep,EQ_DHS,PUBLISHED,1995,AMR,GTM,,,,WQ4,,No data,,,,Not available.
169,carep,EQ_DHS,PUBLISHED,2012,AFR,GIN,,,,WQ1,,19.1 [11.4-30.3],19.09413,11.37192,30.26923,
170,carep,EQ_DHS,PUBLISHED,2012,AFR,GIN,,,,WQ3,,34.6 [24.2-46.8],34.64808,24.215510000000002,46.799659999999996,
171,carep,EQ_DHS,PUBLISHED,2005,AFR,GIN,,,,WQ3,,No data,,,,Not available.
172,carep,EQ_DHS,PUBLISHED,2005,AFR,GIN,,,,WQ5,,No data,,,,Not available.
173,carep,EQ_MICS,PUBLISHED,2014,AFR,GNB,,,,WQ2,,32.0 [18.3-49.8],32.03991,18.288120000000003,49.82676,Attention - Estimate is based on 25-49 cases.
174,carep,EQ_MICS,PUBLISHED,2014,AFR,GNB,,,,WQ4,,33.2 [16.9-54.9],33.24261,16.91907,54.90688000000001,Attention - Estimate is based on 25-49 cases.
175,carep,EQ_MICS,PUBLISHED,2014,AMR,GUY,,,,WQ1,,85.8 [67.4-94.7],85.8342,67.37968000000001,94.67363,
176,carep,EQ_MICS,PUBLISHED,2014,AMR,GUY,,,,WQ3,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
177,carep,EQ_DHS,PUBLISHED,2009,AMR,GUY,,,,WQ3,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
178,carep,EQ_DHS,PUBLISHED,2009,AMR,GUY,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
179,carep,EQ_DHS,PUBLISHED,2016,AMR,HTI,,,,WQ2,,29.0 [20.6-39.1],28.957420000000003,20.58775,39.05621,
180,carep,EQ_DHS,PUBLISHED,2016,AMR,HTI,,,,WQ4,,49.6 [37.3-61.9],49.60102,37.34915,61.901,
181,carep,EQ_DHS,PUBLISHED,2005,AMR,HTI,,,,WQ1,,20.6 [13.0-30.9],20.552970000000002,12.992280000000001,30.94848,
182,carep,EQ_DHS,PUBLISHED,2005,AMR,HTI,,,,WQ3,,46.1 [34.0-58.6],46.0904,34.01495,58.64285,
183,carep,EQ_DHS,PUBLISHED,2000,AMR,HTI,,,,WQ3,,No data,,,,Not available.
184,carep,EQ_DHS,PUBLISHED,2000,AMR,HTI,,,,WQ5,,No data,,,,Not available.
185,carep,EQ_DHS,PUBLISHED,2011,AMR,HND,,,,WQ2,,60.2 [54.2-65.8],60.156290000000006,54.19025,65.83521,
186,carep,EQ_DHS,PUBLISHED,2011,AMR,HND,,,,WQ4,,65.3 [55.6-73.9],65.2951,55.596709999999995,73.87076,
187,carep,EQ_RHS,PUBLISHED,2001,AMR,HND,,,,WQ1,,33.8 [24.7-44.2],33.76624,24.72428,44.17442,
188,carep,EQ_RHS,PUBLISHED,2001,AMR,HND,,,,WQ3,,55.0 [40.5-68.7],54.96688,40.47165,68.66528000000001,
189,carep,EQ_RHS,PUBLISHED,1996,AMR,HND,,,,WQ3,,No data,,,,Not available.
190,carep,EQ_RHS,PUBLISHED,1996,AMR,HND,,,,WQ5,,No data,,,,Not available.
191,carep,EQ_DHS,PUBLISHED,2015,SEAR,IND,,,,WQ2,,75.1 [72.2-77.8],75.10108000000001,72.16601,77.82177,
192,carep,EQ_DHS,PUBLISHED,2015,SEAR,IND,,,,WQ4,,85.0 [81.7-87.8],85.00201,81.69014,87.80428,
193,carep,EQ_DHS,PUBLISHED,1998,SEAR,IND,,,,WQ1,,No data,,,,Not available.
194,carep,EQ_DHS,PUBLISHED,1998,SEAR,IND,,,,WQ3,,No data,,,,Not available.
195,carep,EQ_DHS,PUBLISHED,2012,SEAR,IDN,,,,WQ3,,80.3 [71.4-86.9],80.29587,71.38784,86.93795,
196,carep,EQ_DHS,PUBLISHED,2012,SEAR,IDN,,,,WQ5,,71.0 [56.2-82.3],70.96984,56.161159999999995,82.34843000000001,
197,carep,EQ_DHS,PUBLISHED,2007,SEAR,IDN,,,,WQ2,,No data,,,,Not available.
198,carep,EQ_DHS,PUBLISHED,2002,SEAR,IDN,,,,WQ2,,No data,,,,Not available.
199,carep,EQ_DHS,PUBLISHED,2002,SEAR,IDN,,,,WQ4,,No data,,,,Not available.
200,carep,EQ_DHS,PUBLISHED,1994,SEAR,IDN,,,,WQ1,,No data,,,,Not available.
201,carep,EQ_DHS,PUBLISHED,1994,SEAR,IDN,,,,WQ3,,No data,,,,Not available.
202,carep,EQ_MICS,PUBLISHED,2011,EMR,IRQ,,,,WQ3,,74.9 [68.5-80.3],74.88212,68.52367,80.32491999999999,
203,carep,EQ_MICS,PUBLISHED,2011,EMR,IRQ,,,,WQ5,,77.7 [68.0-85.0],77.66842,68.02365999999999,85.04373000000001,
204,carep,EQ_MICS,PUBLISHED,2006,EMR,IRQ,,,,WQ2,,No data,,,,Not available.
205,carep,EQ_MICS,PUBLISHED,2011,AMR,JAM,,,,WQ2,,83.3 [54.3-95.4],83.26558,54.30659,95.41936,Attention - Estimate is based on 25-49 cases.
206,carep,EQ_MICS,PUBLISHED,2011,AMR,JAM,,,,WQ4,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
207,carep,EQ_DHS,PUBLISHED,2012,EMR,JOR,,,,WQ1,,79.9 [69.5-87.4],79.89596,69.51946,87.38118,
208,carep,EQ_DHS,PUBLISHED,2012,EMR,JOR,,,,WQ3,,83.5 [73.8-90.1],83.49434000000001,73.78438,90.09084,
209,carep,EQ_DHS,PUBLISHED,2007,EMR,JOR,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
